50words,9.0,10.0,7.0,17.0,14.0,11.0,70.0,31.0,27.0
Adiac,9.0,9.0,4.0,19.0,13.0,6.0,77.0,33.0,21.0
ArrowHead,188.0,9.0,5.0,226.0,14.0,8.0,248.0,36.0,27.0
Beef,7.0,15.0,2.0,29.0,18.0,3.0,91.0,50.0,5.0
BeetleFly,15.0,17.0,6.0,29.0,20.0,11.0,109.0,38.0,22.0
BirdChicken,8.0,16.0,2.0,14.0,18.0,5.0,58.0,20.0,14.0
Car,433.0,17.0,2.0,519.0,21.0,6.0,571.0,40.0,27.0
CBF,16.0,13.0,8.0,65.0,64.0,48.0,122.0,122.0,114.0
ChlorineConcentration,69.0,35.0,2.0,96.0,87.0,5.0,159.0,157.0,30.0
CinC,82.0,45.0,26.0,126.0,53.0,40.0,982.0,107.0,48.0
Coffee,14.0,16.0,2.0,79.0,33.0,6.0,228.0,164.0,36.0
Computers,21.0,24.0,16.0,94.0,75.0,41.0,621.0,613.0,189.0
Cricket,15.0,14.0,9.0,46.0,35.0,21.0,251.0,206.0,114.0
DiatomSizeReduction,9.0,11.0,7.0,15.0,13.0,10.0,77.0,35.0,23.0
DistalPhalanxOutlineAgeGroup,12.0,12.0,2.0,27.0,16.0,6.0,67.0,59.0,35.0
DistalPhalanxOutlineCorrect,12.0,12.0,2.0,26.0,16.0,7.0,65.0,57.0,32.0
DistalPhalanxTW,12.0,12.0,2.0,27.0,17.0,6.0,67.0,60.0,36.0
Earthquakes,282.0,277.0,104.0,420.0,409.0,192.0,503.0,502.0,344.0
ECG200,11.0,9.0,4.0,30.0,26.0,8.0,87.0,75.0,45.0
ECG5000,14.0,13.0,3.0,30.0,24.0,7.0,114.0,87.0,30.0
ECGFiveDays,34.0,31.0,2.0,62.0,45.0,5.0,126.0,77.0,13.0
ElectricDevices,41.0,41.0,30.0,73.0,69.0,56.0,94.0,94.0,88.0
FaceAll,98.0,27.0,9.0,118.0,39.0,22.0,130.0,89.0,52.0
FaceFour,35.0,32.0,5.0,68.0,46.0,13.0,287.0,240.0,55.0
FacesUCR,98.0,27.0,9.0,118.0,38.0,22.0,130.0,90.0,52.0
FISH,347.0,15.0,5.0,417.0,18.0,11.0,458.0,42.0,26.0
FordA,63.0,47.0,16.0,98.0,61.0,34.0,296.0,106.0,82.0
FordB,69.0,49.0,18.0,102.0,65.0,39.0,319.0,106.0,84.0
Gun,6.0,7.0,3.0,13.0,9.0,6.0,50.0,28.0,16.0
Ham,323.0,32.0,8.0,388.0,60.0,17.0,427.0,115.0,61.0
HandOutlines,16.0,70.0,11.0,28.0,83.0,33.0,108.0,91.0,46.0
Haptics,11.0,31.0,6.0,28.0,36.0,14.0,551.0,442.0,32.0
Herring,12.0,17.0,3.0,27.0,19.0,8.0,121.0,65.0,40.0
